"Table 4--U.S. strawberry harvested acreage, yield per acre, and production, 13 States, 1970-2012 1/",,,,,,,,,,
Item,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
,,,,,      -- Acres --,,,,,
Harvested acreage:,,,,,,,,,,
    Arkansas,400,250,300,300,300,300,300,220,250,250
    California,"11,000","10,900","11,600","13,000","14,100","14,600","15,600","17,500","19,200","19,900"
    Florida,"2,500","3,200","5,000","5,400","5,100","5,300","4,900","4,900","5,000","5,300"
    Louisiana,650,650,650,600,600,550,550,600,700,650
,,,,,,,,,,
    Michigan,"2,700","2,700","2,700","2,700","2,700","2,500","2,400","2,400","2,300","2,200"
    New Jersey,900,900,"1,000","1,000","1,000","1,100",900,800,700,600
    New York,"2,700","2,800","2,800","3,000","3,000","3,300","3,300","2,800","2,500","2,400"
    North Carolina,"2,100","2,100","2,100","2,200","2,100","2,100","2,100","2,100","2,100","2,100"
    Ohio,"1,900","1,900","1,900","1,900","1,600","1,700","1,500","1,400","1,300","1,200"
,,,,,,,,,,
    Oregon,"5,200","5,500","5,800","6,900","6,600","6,800","7,300","7,800","7,800","6,200"
    Pennsylvania,"1,600","1,700","1,800","1,800","1,700","1,700","1,800","1,900","1,900","1,800"
    Virginia,--,--,--,--,--,--,--,--,--,--
    Washington ,"2,900","2,800","3,000","3,100","3,000","3,000","2,800","2,500","2,400","1,900"
    Wisconsin,"1,500","1,600","1,600","1,500","1,500","1,400","1,300","1,200","1,000","1,100"
,,,,,,,,,,
      U.S. total,"36,050","37,000","40,250","43,400","43,300","44,350","44,750","46,120","47,150","45,600"
,,,,,,,,,,
,,,,,"-- 1,000 pounds --",,,,,
Yield per acre:,,,,,,,,,,
    Arkansas,6.4,6.4,6.7,5,5.7,5.7,6,5,4.6,3.5
    California,47,49.5,54.5,48,53.5,53,50.5,47,45,42.5
    Florida,19,21,19.5,19,17,20,18.5,22.5,25,26
    Louisiana,6,6,6,7,6.2,5.5,6.2,7.2,7.5,6.2
,,,,,,,,,,
    Michigan,6.5,6.5,8,6,7,6.5,6,6,5.5,5.3
    New Jersey,4.2,4.8,4.9,5,5,5.5,4.2,5.3,4.6,3
    New York Yield,5.3,4.6,4.5,4.5,5.1,5.1,5.5,5.7,4.8,5.6
    North Carolina,2.9,2.8,2.6,4,3.6,3.2,3.5,3.8,6,4.2
    Ohio,7,4.2,6.6,5,4.8,5.4,3.8,5.2,5.6,4.6
,,,,,,,,,,
    Oregon,8.9,9.3,10,11.5,9.2,7.4,8.7,12,13,10.5
    Pennsylvania,3.9,4,4.2,4,3,3,3.4,3.8,4.3,4.7
    Virginia,--,--,--,--,--,--,--,--,--,--
    Washington ,6,6,6.2,6.2,7,7.1,5,9.6,9.2,6
    Wisconsin,3.8,3.6,6.8,3.8,3.9,3.9,4.9,3.7,4.1,5.5
,,,,,,,,,,
      U.S. total,19.5,20,21.9,20.9,22.9,23,22.9,24.2,25,24.8
,,,,,,,,,,
,,,,, -- Million pounds --,,,,,
Production:,,,,,,,,,,
    Arkansas,2.6,1.6,2,1.5,1.7,1.7,1.8,1.1,1.2,0.9
    California,517,539.6,632.2,624,754.4,773.8,787.8,822.5,864,867
    Florida,47.5,67.2,97.5,102.6,86.7,106,90.7,110.3,125,137.8
    Louisiana,3.9,3.9,3.9,4.2,3.7,3,3.4,4.3,5.3,4
,,,,,,,,,,
    Michigan,17.6,17.6,21.6,16.2,18.9,16.3,14.4,14.4,12.7,11.7
    New Jersey,3.8,4.3,4.9,5,5,6.1,3.8,4.2,3.2,1.8
    New York,14.3,12.9,12.6,13.5,15.3,16.8,18.2,16,12,13.4
    North Carolina,6.1,5.9,5.5,8.8,7.6,6.7,7.4,8,12.6,8.8
    Ohio,13.3,8,12.5,9.5,7.7,9.2,5.7,7.3,7.3,5.5
,,,,,,,,,,
    Oregon,46.3,51.2,58,79.4,60.7,50.3,63.5,93.6,101.4,65.1
    Pennsylvania,6.2,6.8,7.6,7.2,5.1,5.1,6.1,7.2,8.2,8.5
    Virginia,--,--,--,--,--,--,--,--,--,--
    Washington ,17.4,16.8,18.6,19.2,21,21.3,14,24,22.1,11.4
    Wisconsin,5.7,5.8,6.1,5.7,5.9,5.5,6.4,4.4,4.1,6.1
,,,,,,,,,,
      U.S. total,701.7,741.6,883,896.8,993.7,"1,021.8","1,023.2","1,117.3","1,179.1","1,142"
See footnotes at the end of table.,,,,,,,,,--Continued--,
,,,,,,,,,,
,,,,,,,,,,
