"Table 4--U.S. strawberry harvested acreage, yield per acre, and production, 13 States, 1970-2012 1/",,,,,,,,,,,,,,,,,,,,,,,
Item,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012 2/
,,,,,,,,,,,      -- Acres --,,,,,,,,,,,,
Harvested acreage:,,,,,,,,,,,,,,,,,,,,,,,
    California,987,"1,097.2","1,032","1,142.1","1,328.1","1,298","1,360.8","1,333.4","1,355.2","1,535.1","1,573.2","1,372.8","1,609.7","1,909.2","1,958.8","2,058","2,116.3","2,154","2,267.5","2,485.6","2,585.9","2,584.6","2,763.7"
    Florida,116.6,132,162,162.4,168.2,168,156,176.9,161.2,186,220.5,169,176,156.2,163.3,178.9,204.4,211.2,179.4,237.6,193.6,247.5,182.7
    Louisiana,5.9,5.5,12,11,15.4,9,5.6,5,6,6,--,--,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
,,,,,,,,,,,,,,,,,,,,,,,
    Michigan,14.3,13,13.2,11.4,9.9,10.2,6,9.8,9.5,9,8.3,5,5.6,6.3,4.1,5.2,5.5,4.3,4.9,4.6,2.9,3.1,3.3
    New Jersey,2.1,1.9,2.5,1.8,1.4,1.5,1.6,2,2,2,1.6,1.8,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
    New York,17,19,7.8,15.6,9.6,7.7,7.4,6.7,6.1,7.8,6.5,6,6.3,5,6.5,5.2,4.4,4.6,4.5,4.4,3.5,3.6,3.2
    North Carolina,12.6,12.1,12.7,10.8,15.6,19.2,16.2,18,20,17.6,23.1,19.6,22.5,17,17.6,19.5,21.6,18.9,20.8,19.5,18,19.5,20.3
    Ohio,7.2,5.3,8.5,6.4,6.1,5,3.6,3.4,3.6,2.8,3.1,3.2,2.8,3.8,3.8,4.2,4.3,3.8,4.2,3,3.5,2.6,2.8
,,,,,,,,,,,,,,,,,,,,,,,
    Oregon,65.6,61.6,61,62,70.2,59.9,47.8,50,50.6,41.6,35.3,40.2,33.8,29.5,32.4,25,23,24.7,23.8,21.1,23.6,22.6,21.3
    Pennsylvania,7.3,6.1,5.9,5.4,6.3,6.4,5.6,6.4,5,5.2,6.5,8.6,7.3,8.3,7.9,7,6.8,5.6,7.3,6.5,5.6,4,4.2
    Virginia,--,--,--,--,--,--,--,--,--,--,5.4,4.1,--, -- , -- , -- , -- , -- , -- , -- , -- , -- , -- 
    Washington ,12.6,8.4,11.2,11.2,11.2,10.4,10.5,9.1,12,12,12.9,16,16.2,16.2,15.3,15.3,12.8,13.4,14.4,14.3,12.5,12.5,10.3
    Wisconsin,5.5,6,5.4,5.7,6.1,5.5,4.4,5.6,6.1,5.2,4.4,4.6,4.3,4.5,4.1,4.4,4.7,4.8,4.9,4.7,4.1,4,3.1
,,,,,,,,,,,,,,,,,,,,,,,
,"1,254.3","1,368.9","1,334.8","1,446.5","1,648.6","1,602","1,625.9","1,627.8","1,638.1","1,831.4","1,900.8","1,650.9","1,884.5","2,156","2,213.8","2,322.1","2,403.8","2,445.3","2,531.7","2,801.3","2,853.2","2,904","3,014.9"
"-- = not reported.   1/ Ten other States were reported prior to 1976: Illinois, Indiana, Kentucky, Maryland, Massachusetts, Missouri, Oklahoma, Tennessee, and Texas.  2/ Preliminary.",,,,,,,,,,,,,,,,,,,,,,,
"  Source:  USDA, National Agricultural Statistics Service, Noncitrus Fruits and Nuts Summary, various issues.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
